"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.946799968E2,3.053761279E1,1.143563859E2,2.320942627E1,6.703952311E-1,1.965093401E2,1.422458181E1,1.010356896E1
1.956799698E2,3.053760703E1,1.143563829E2,2.312398615E1,6.148994449E-1,1.978658691E2,1.422456442E1,1.010359344E1
1.966799411E2,3.053760136E1,1.143563798E2,2.289546028E1,6.536462240E-1,1.993584360E2,1.422480857E1,1.010324969E1
1.976799148E2,3.053759468E1,1.143563762E2,2.246103156E1,7.264141460E-1,2.005723133E2,1.422469015E1,1.010341643E1
1.986798878E2,3.053758998E1,1.143563740E2,2.223210284E1,6.111939198E-1,2.015602479E2,1.422462039E1,1.010351465E1
1.996798607E2,3.053758224E1,1.143563732E2,2.205947703E1,6.907355350E-1,1.985896649E2,1.422533551E1,1.010250775E1
2.006798362E2,3.053757608E1,1.143563728E2,2.187439600E1,6.958927102E-1,1.959810893E2,1.422531642E1,1.010253463E1
2.016798075E2,3.053757116E1,1.143563712E2,2.169045135E1,6.110513675E-1,1.962224619E2,1.422597116E1,1.010161263E1
2.026797811E2,3.053756566E1,1.143563708E2,2.192478854E1,5.703670537E-1,1.941117667E2,1.422538326E1,1.010244051E1
2.036797537E2,3.053755989E1,1.143563694E2,2.178521408E1,5.602563107E-1,1.935639463E2,1.422528440E1,1.010257972E1
2.046797273E2,3.053755101E1,1.143563670E2,2.199028769E1,7.191166315E-1,1.931705609E2,1.422572229E1,1.010196310E1
